"state","city","violent.crime","burglary","total.population","male.population","female.population","ratio","crime.per.capita"
"Maine","Bangor",76,253,33039,15919,17120,0.481824510427071,0.00230031175277702
"Illinois","Decatur",352,921,76122,35642,40480,0.468222064580542,0.0046241559601692
"Pennsylvania","Berwick",25,148,10477,5000,5477,0.477235849957049,0.00238617924978524
"Pennsylvania","Scranton",252,641,76089,36647,39442,0.481633350418589,0.00331191105153176
"Illinois","Rock Island",222,217,39018,18717,20301,0.479701676149469,0.00568968168537598
"Wisconsin","Sheboygan",170,262,49288,24414,24874,0.495333549748417,0.00344911540334361
"Connecticut","Norwich",99,274,40493,19597,20896,0.483960190650236,0.00244486701405181
"Illinois","Moline",176,204,43483,21018,22465,0.483361313616816,0.00404755881608905
"Pennsylvania","Wilkes-Barre",172,271,41498,20281,21217,0.488722348064967,0.00414477806159333
"Connecticut","New London",366,183,27620,13644,13976,0.493989862418537,0.0132512671976828
"Rhode Island ","Providence",1133,1929,178042,85802,92240,0.481919996405343,0.00636366699992137
"Illinois","Danville",328,659,33027,16526,16501,0.500378478214794,0.00993126835619342
"Wisconsin","Janesville",179,339,63575,31102,32473,0.489217459693276,0.00281557215886748
"New Jersey","Bridgeton",322,484,25349,14576,10773,0.575012821018581,0.0127026707167936
"Connecticut","New Haven",1870,1451,129779,62508,67271,0.481649573505729,0.0144091108730997
"Ohio","Canton",729,1590,73007,34591,38416,0.473803881819552,0.00998534387113565
"Ohio","Massillon",66,353,32149,15579,16570,0.484587389965473,0.00205294099349902
"Alabama","Oxford",62,179,17197,8269,8928,0.480839681339769,0.00360527999069605
"Pennsylvania","Altoona",163,226,46320,22239,24081,0.480116580310881,0.00351899827288428
"Pennsylvania","Erie",458,1095,101786,49126,52660,0.482640048729688,0.00449963649224844
"Pennsylvania","Gettysburg",27,24,7620,3670,3950,0.481627296587927,0.00354330708661417
"West Virginia","Vienna",13,19,10749,5053,5696,0.470090240952647,0.00120941482928645
"Missouri","Saint Louis",5661,4986,319294,154171,165123,0.482849662066935,0.0177297412416143
"Maine","Lewiston",80,328,36592,17590,19002,0.480706165282029,0.00218627022299956
"Ohio","Lima",466,618,38771,20481,18290,0.528255654999871,0.0120192927703696
"West Virginia","Parkersburg",146,433,31492,14965,16527,0.475200050806554,0.00463609805664931
"Michigan","Warren",715,999,134056,64884,69172,0.484006683773945,0.00533359193173002
"New Jersey","Ocean City",15,88,11701,5499,6202,0.469959832492949,0.00128194171438339
"Indiana","Gary",728,1634,80294,36926,43368,0.459884922908312,0.00906667995117942
"Michigan","Monroe",108,234,20733,9753,10980,0.470409492114021,0.00520908696281291
"Indiana","La Porte",28,188,22053,10640,11413,0.482474039813177,0.00126966852582415
"Indiana","South Bend",622,1744,101168,48982,52186,0.484164953344931,0.00614818915071959
"Indiana","Michigan City",120,325,31479,16182,15297,0.514056990374535,0.00381206518631469
"Maine","Auburn",47,179,23055,11136,11919,0.483018867924528,0.00203860333983951
"Indiana","Mishawaka",160,501,48252,22703,25549,0.470508994445826,0.00331592472850866
"North Carolina","Lenoir",51,231,18228,8674,9554,0.475861312266842,0.00279789335088874
"Alabama","Anniston",504,912,23106,10649,12457,0.460875962953345,0.0218125162295508
"Illinois","Peoria",919,1420,115007,54763,60244,0.476171015677307,0.00799081795021173
"Wisconsin","Racine",374,1101,78860,38465,40395,0.487763124524474,0.00474258179051484
"Ohio","Cincinnati",2887,5483,296943,142672,154271,0.480469315659908,0.00972240463658008
"Michigan","East Lansing",116,215,48579,23574,25005,0.485271413573766,0.00238786306840404
"Illinois","Kankakee",237,348,27537,13475,14062,0.489341613102371,0.00860660202636453
"New York","Binghamton",315,558,47376,23218,24158,0.490079365079365,0.00664893617021277
"Alabama","Gadsden",372,835,36856,17489,19367,0.474522465812893,0.0100933362274799
"Massachusetts","Pittsfield",191,372,44737,21472,23265,0.47996065896238,0.00426939669624695
"Indiana","Muncie",258,690,70085,33306,36779,0.475222943568524,0.00368124420346722
"New York","Niagara Falls",619,750,50193,23946,26247,0.477078477078477,0.0123323969477816
"Maine","Portland",173,411,66194,32306,33888,0.488050276460102,0.00261352992718373
"New York","Utica",411,591,62235,29924,32311,0.480822688197959,0.00660400096408773
"Illinois","Champaign",741,722,81055,41256,39799,0.508987724384677,0.00914194065757819
"New York","Albany",802,887,97856,47319,50537,0.483557472204055,0.00819571615434925
"Maine","South Portland",49,108,25002,11919,13083,0.47672186225102,0.001959843212543
"Virginia","Hampton",314,758,137436,65750,71686,0.47840449372799,0.00228469978753747
"Michigan","Lansing",1078,1307,114297,55332,58965,0.484107194414552,0.00943156863259753
"Connecticut","Hartford",1655,1050,124775,60260,64515,0.48294930875576,0.0132638749749549
"West Virginia","Beckley",189,335,17614,8201,9413,0.465595548995118,0.0107301010559782
"New York","Rome",46,133,33725,17324,16401,0.513684210526316,0.0013639733135656
"Ohio","Akron",1759,3429,199110,96257,102853,0.483436291497162,0.00883431269147707
"Indiana","Kokomo",177,462,45468,21286,24182,0.468153426585731,0.00389284771707575
"Illinois","Rockford",2083,2224,152871,73867,79004,0.483198252121069,0.0136258675615388
"Maryland","Cumberland",166,317,20859,9808,11051,0.47020470779999,0.00795819550314013
"New Jersey","Hammonton",15,60,14791,7360,7431,0.49759989182611,0.00101413021431952
"Ohio","Toledo",3352,6729,287208,138973,148235,0.483875797331551,0.0116709840951506
"New Jersey","Atlantic City",699,481,39558,19396,20162,0.490318014055311,0.0176702563324738
"New Jersey","Camden",1993,1089,77344,37626,39718,0.486476003309888,0.0257679975175838
"New York","Buffalo",3382,3976,261310,125208,136102,0.479155026596762,0.012942482109372
"Ohio","Dayton",1384,3043,141527,68951,72576,0.487193256410438,0.00977905276025069
"New Hampshire","Manchester",624,849,109565,54356,55209,0.496107333546297,0.0056952493953361
"New Hampshire","Nashua",204,375,86494,42661,43833,0.493224963581289,0.00235854510139432
"Illinois","Evanston",228,421,74486,35490,38996,0.47646537604382,0.0030609779018876
"Pennsylvania","Harrisburg",727,613,49528,23828,25700,0.481101599095461,0.0146785656598288
"West Virginia","Wheeling",245,265,28486,13368,15118,0.469283156638349,0.00860071614126237
"Ohio","Springfield",373,1420,60608,28865,31743,0.476257259767687,0.00615430306230201
"Michigan","Saginaw",1211,1042,51508,24264,27244,0.471072454764308,0.023510910926458
"Wisconsin","Waukesha",107,233,70718,34656,36062,0.490059108006448,0.00151305183970135
"Rhode Island","Warwick",102,334,82672,39544,43128,0.478323979098123,0.00123379136829882
"Illinois","Chicago",NA,22748,2695598,1308072,1387526,0.485262268335264,NA
"New Jersey","Trenton",1251,1291,84913,43790,41123,0.51570430911639,0.0147327264376479
"Illinois","Des Plaines",65,137,58364,28423,29941,0.486995408128298,0.00111370022616682
"Illinois","Skokie",134,284,64784,30732,34052,0.474376389231909,0.00206841195356878
"Illinois","Arlington Heights",41,140,75101,36019,39082,0.479607461951239,0.000545931478941692
"Illinois","Schaumburg",68,199,74227,35840,38387,0.482843170274967,0.000916108693602058
"Virginia","Newport News",754,1029,180719,87263,93456,0.482865664373973,0.00417222317520571
"Connecticut","Middletown",72,156,47648,23140,24508,0.485644728005373,0.00151108126259234
"Alabama","Birmingham",3237,4704,212237,99337,112900,0.468047512921875,0.0152518175435951
"Ohio","Warren",279,812,41557,19982,21575,0.480833553913901,0.00671367038044132
"Illinois","Hoffman Estates",66,129,51895,25572,26323,0.492764235475479,0.00127179882454957
"New York","Kingston",70,114,23893,11492,12401,0.480977692211108,0.00292972837232662
"Iowa","Ames",78,291,58965,31247,27718,0.529924531501738,0.00132281862121598
"New York","Troy",335,593,50129,25328,24801,0.505256438388957,0.00668275848311357
"New York","Syracuse",1372,1896,145170,69180,75990,0.476544740648894,0.00945098849624578
"Wisconsin","Wausau",120,241,39106,19211,19895,0.49125453894543,0.00306858282616478
"Pennsylvania","Reading",828,1447,88082,42757,45325,0.485422674326196,0.00940033150927545
"Pennsylvania","Bethlehem",238,377,74982,36032,38950,0.480541996745886,0.00317409511616121
"Pennsylvania","York",587,433,43718,21054,22664,0.481586531863306,0.0134269637220367
"Michigan","Bay City",215,199,34932,17019,17913,0.48720371006527,0.00615481506927745
"Pennsylvania","Hanover",31,30,15289,7325,7964,0.479102622800706,0.00202760154359343
"New York","Elmira",104,250,29200,14772,14428,0.505890410958904,0.00356164383561644
"Indiana","Terre Haute",191,1035,60785,31392,29393,0.516443201447726,0.00314222258780949
"Ohio","Youngstown",684,1739,66982,32970,34012,0.492221790928906,0.0102116986653131
"New Jersey","Newark",3220,2144,277140,137116,140024,0.494753554160352,0.0116186764812008
"Louisiana","Houma",210,281,33727,16547,17180,0.49061582708216,0.00622646544311679
"Illinois","Bloomington",372,357,76610,37280,39330,0.486620545620676,0.00485576295522778
"Wisconsin","Oshkosh",191,340,66083,33836,32247,0.512022759257298,0.00289030461692114
"Minnesota","Duluth",NA,642,86265,42243,44022,0.489688749782646,NA
"New York","Rochester",2069,2978,210565,101707,108858,0.483019495167763,0.0098259444827013
"Pennsylvania","Williamsport",111,266,29381,15009,14372,0.510840338994588,0.00377795173751744
"Wisconsin","Fond du Lac",183,118,43021,20502,22519,0.476557960066014,0.00425373654726761
"Illinois","Urbana",148,416,41250,20668,20582,0.501042424242424,0.00358787878787879
"Illinois","Naperville",119,255,141853,68981,72872,0.486285097953515,0.000838896604231141
"Wisconsin","Neenah",35,76,25501,12463,13038,0.48872593231638,0.00137249519626681
"Ohio","Mansfield",178,1016,47821,25323,22498,0.529537232596558,0.00372221409004412
"Iowa","Cedar Falls",47,104,39260,18903,20357,0.481482424859908,0.00119714722363729
"Missouri","Saint Joseph",323,993,76780,38242,38538,0.498072414691326,0.00420682469393071
"Michigan","Southfield",352,625,71739,32068,39671,0.447009297592662,0.00490667558789501
"Michigan","Kalamazoo",657,835,74262,36646,37616,0.493469068972018,0.00884705502141068
"Michigan","Farmington Hills",74,231,79740,37565,42175,0.471093554050665,0.000928016052169551
"Michigan","Novi",37,72,55224,26712,28512,0.483702737940026,0.000669998551354484
"Michigan","Troy",60,181,80980,39883,41097,0.492504322054828,0.000740923684860459
"Pennsylvania","Lebanon",99,123,25477,12327,13150,0.483848176786906,0.00388585783255485
"Maryland","Baltimore",8789,7770,620961,292249,328712,0.470639863050981,0.0141538679562807
"Georgia","Rome",190,490,36303,17285,19018,0.476131449191527,0.00523372724017299
"New York","Glens Falls",43,51,14700,7135,7565,0.485374149659864,0.00292517006802721
"Iowa","Sioux City",274,621,82678,40640,42038,0.491545513921478,0.00331406178185249
"Iowa","Waterloo",470,828,68406,33138,35268,0.48443119024647,0.00687074233254393
"New York","Schenectady",626,810,66135,31991,34144,0.483722688440311,0.00946548726090572
"Illinois","Springfield",1138,1670,116250,54825,61425,0.471612903225806,0.00978924731182796
"Wisconsin","West Allis",191,552,60411,29577,30834,0.489596265580772,0.00316167585373525
"Wisconsin","Milwaukee",7759,6977,594833,286949,307884,0.482402623929742,0.0130439972227499
"Iowa ","Council Bluffs",744,970,62230,30282,31948,0.486614173228346,0.0119556484010927
"Virginia","Roanoke",542,940,97032,46390,50642,0.47808970236623,0.00558578613240993
"Missouri","Jefferson City",261,235,43079,22074,21005,0.512407437498549,0.00605863645859932
"Michigan","Flint",2774,2979,102434,49140,53294,0.479723529296913,0.0270808520608392
"Tennessee","Jackson",972,972,65211,30149,35062,0.462329975004217,0.014905460735152
"Michigan","Portage",76,184,46292,22191,24101,0.479370085543938,0.00164175235461851
"Massachusetts","Barnstable",283,378,45193,21780,23413,0.481933042727856,0.00626203173057774
"Kentucky","Owensboro",125,469,57265,26989,30276,0.471300096044704,0.00218283419191478
"Pennsylvania","Philadelphia",17853,12004,1526006,719813,806193,0.471697358988104,0.0116991676310578
"New Jersey","Vineland",225,694,60724,29167,31557,0.480320795731506,0.00370528950662012
"Alabama","Hoover",86,393,81619,39221,42398,0.480537619916931,0.00105367622734902
"Louisiana","Baton Rouge",2507,3826,229493,110400,119093,0.481060424500965,0.0109240804730428
"North Carolina","Hickory",265,475,40010,19075,20935,0.476755811047238,0.00662334416395901
"Illinois","Elgin",257,357,108188,53888,54300,0.498095907124635,0.00237549450955744
"Texas","Wichita Falls",475,1259,104553,54172,50381,0.518129561083852,0.00454315036393026
"North Carolina","Rocky Mount",749,1046,57477,26296,31181,0.457504741026846,0.0130312994763123
"Missouri","Springfield",1596,2215,159498,77326,82172,0.484808586941529,0.0100063950645149
"Louisiana","Thibodaux",65,74,14566,6709,7857,0.460593162158451,0.00446244679390361
"Missouri","Kansas City",5862,6964,459787,223183,236604,0.485405198494085,0.0127493817789542
"Michigan","Detroit",15011,13488,713777,337679,376098,0.473087532940961,0.0210303778350942
"Pennsylvania","Chambersburg",82,120,20268,9444,10824,0.465956187092954,0.00404578646141701
"Michigan","Ann Arbor",227,714,113934,56155,57779,0.492873066863272,0.00199238155423315
"Michigan","Livonia",146,323,96942,46859,50083,0.483371500484826,0.00150605516700708
"Michigan","Taylor",303,563,63131,30215,32916,0.478607973895551,0.00479954380573728
"Alabama","Decatur",240,821,55599,26745,28854,0.481033831543733,0.00431662439971942
"Massachusetts","Springfield",1606,2317,153060,72573,80487,0.474147393179145,0.0104926172742715
"South Carolina","Sumter",403,599,40524,19071,21453,0.470610008883625,0.00994472411410522
"Michigan","Dearborn",322,462,98153,48519,49634,0.494320092101107,0.00328059254429309
"Michigan","Midland",38,56,41706,20047,21659,0.480674243514123,0.000911139883949552
"Minnesota","North Mankato",NA,28,13394,6609,6785,0.49342989398238,NA
"New Jersey","New Brunswick",382,557,55181,28262,26919,0.512169043692575,0.00692267265906743
"North Carolina","Morganton",52,156,16918,8260,8658,0.488237380305001,0.00307364936753753
"Missouri","Joplin",288,653,50150,24025,26125,0.479062811565304,0.00574277168494516
"Virginia","Norfolk",1332,2261,242803,125797,117006,0.518103153585417,0.0054859289218008
"Wisconsin","La Crosse",154,404,51320,24580,26740,0.478955572876072,0.00300077942322681
"California","Chico",282,778,86187,42706,43481,0.495503962314502,0.0032719551672526
"Washington","Longview",156,468,36648,17632,19016,0.481117659899585,0.00425671250818599
"Virginia","Christiansburg",30,87,21041,10074,10967,0.478779525687943,0.00142578774773062
"Virginia","Blacksburg",39,80,42620,23430,19190,0.549741905208822,0.000915063350539653
"Kansas","Wichita",2869,3919,382368,188523,193845,0.493040735626412,0.00750324294920077
"Kansas","Topeka",772,1277,127473,60941,66532,0.478069865775498,0.00605618444690248
"Oregon","Corvallis",67,235,54462,27403,27059,0.503158165326283,0.00123021556314495
"Pennsylvania","Allentown",653,1248,118032,56869,61163,0.48181001762234,0.0055323979937644
"California","Yuba City",247,501,64925,32121,32804,0.494740084713131,0.00380438968040046
"Virginia","Radford",78,102,16408,7779,8629,0.474098000975134,0.00475377864456363
"Arkansas","Pine Bluff",625,1124,49083,23326,25757,0.47523582503107,0.0127335329951307
"Indiana","Fort Wayne",931,2025,253691,122783,130908,0.48398642442972,0.0036698187953061
"Arizona","Flagstaff",262,242,65870,32518,33352,0.49366934871717,0.00397753150144223
"New Mexico","Santa Fe",331,1907,67947,32180,35767,0.473604426979852,0.00487144391952551
"Virginia","Charlottesville",198,162,43475,20754,22721,0.47737780333525,0.00455434157561817
"Oregon","Eugene",430,1515,156185,76324,79861,0.488676889586068,0.00275314530844831
"New Mexico","Farmington",481,332,45877,22630,23247,0.493275497525993,0.0104845565315954
"Virginia","Staunton",42,62,23746,10747,12999,0.452581487408406,0.00176871894213762
"Florida","Sebring",51,136,10491,5078,5413,0.48403393384806,0.00486130969402345
"Tennessee","Bristol",143,184,26702,12710,13992,0.475994307542506,0.0053554040895813
"Alabama","Dothan",316,874,64609,30574,34035,0.473215805847483,0.00489095946385179
"Minnesota","Mankato",NA,346,39305,19662,19643,0.500241699529322,NA
"Massachusetts","Worcester",1758,2040,181045,88150,92895,0.486895523212461,0.00971029302107211
"Connecticut","Danbury",109,287,80893,39706,41187,0.490845932280914,0.0013474589890349
"California","Redding",705,1088,89861,43492,46369,0.48399194311214,0.00784545019530163
"Connecticut","Bridgeport",1760,1377,144229,69996,74233,0.485311553155052,0.0122028163545473
"New York","White Plains",92,82,56853,27355,29498,0.481153149350078,0.00161820836191582
"Virginia","Portsmouth",461,1218,95535,45933,49602,0.4807976134401,0.00482545663892814
"Connecticut","Stamford",351,290,122643,60402,62241,0.492502629583425,0.00286196521611507
"Connecticut","Norwalk",272,250,85603,41977,43626,0.490368328212796,0.00317745873392288
"Arkansas","Little Rock",2579,4244,193524,92245,101279,0.476659225729109,0.013326512473905
"Arkansas","North Little Rock",449,1204,62304,29457,32847,0.47279468412943,0.00720659989727786
"Louisiana","Monroe",490,1172,48815,22385,26430,0.45856806309536,0.0100378981870327
"Idaho","Lewiston",55,289,31894,15684,16210,0.491753934909387,0.00172446228130683
"Georgia","Albany",813,1408,77434,35723,41711,0.461334814164321,0.0104992638892476
"Mississippi","Jackson",1668,4124,173514,80615,92899,0.464602279931302,0.00961305715965282
"New York","New York",52993,18635,8175133,3882544,4292589,0.474921203116818,0.00648221869907193
"Florida","Melbourne",658,648,76068,36921,39147,0.485368354630068,0.00865015512436241
"Florida","Palm Bay",553,719,103190,49807,53383,0.482672739606551,0.00535904641922667
"Florida","Titusville",294,519,43761,21057,22704,0.481181874271612,0.00671831082470693
"Florida","Daytona Beach",715,799,61005,30490,30515,0.499795098762397,0.0117203507909188
"Pennsylvania","Lancaster",465,439,59322,29468,29854,0.496746569569468,0.00783857590775766
"Missouri","Cape Girardeau",243,500,37941,17982,19959,0.473946390448328,0.00640468095200443
"Florida","Ormond Beach",122,199,38137,17985,20152,0.471589270262475,0.00319899310380995
"Missouri","Saint Charles",101,222,65794,32253,33541,0.490211873423109,0.00153509438550628
"Iowa","Dubuque",128,NA,57637,27910,29727,0.484237555736766,0.00222079566944844
"Louisiana","Shreveport",1550,2425,199311,93354,105957,0.468383581438054,0.00777679104515054
"Maryland","Salisbury",366,336,30343,14043,16300,0.462808555515275,0.0120620901031539
"New Mexico","Albuquerque",4151,6677,545852,265106,280746,0.485673772377861,0.00760462542960363
"South Carolina","Easley",106,224,19961,9441,10520,0.472972295977155,0.00531035519262562
"Arizona","Prescott",168,197,39843,19583,20260,0.491504153803679,0.00421654995858746
"Montana","Missoula",221,378,66788,33332,33456,0.499071689525064,0.0033089776606576
"Florida","Clearwater",727,919,107685,52044,55641,0.483298509541719,0.00675117240098435
"Florida","Saint Petersburg",2239,2933,244769,117704,127065,0.480877888948355,0.00914740020182294
"Montana","Great Falls",151,320,58505,28580,29925,0.488505255961029,0.00258097598495855
"Florida","Largo",394,574,77648,36661,40987,0.472143519472491,0.00507418091901916
"Arkansas","Fort Smith",687,1064,86209,41996,44213,0.487141713742185,0.00796900555626443
"Oregon","Medford",425,477,74907,36270,38637,0.484200408506548,0.00567370205721762
"West Virginia","Martinsburg",89,127,17227,8408,8819,0.488071051256748,0.00516630870145702
"Iowa","Davenport",604,890,99685,48558,51127,0.487114410392737,0.00605908612128204
"Minnesota","Eagan",NA,181,64206,31543,32663,0.491278073700277,NA
"Indiana","Lafayette",407,713,67140,32696,34444,0.486982424784033,0.0060619600834078
"California","Hanford",309,337,53967,26469,27498,0.490466396130969,0.00572572127411196
"Louisiana","Alexandria",815,974,47723,22401,25322,0.469396307859942,0.0170777193386837
"Indiana","Bloomington",243,622,80405,40423,39982,0.502742366768236,0.00302220011193334
"Maryland","Hagerstown",197,310,39662,18762,20900,0.473047249256215,0.00496697090413998
"Washington","Spokane",1369,3827,208916,101853,107063,0.487530873652568,0.00655287292500335
"Alabama","Montgomery",827,3409,205764,96687,109077,0.469892692599289,0.00401916759005463
"California","Santa Cruz",433,527,59946,30047,29899,0.501234444333233,0.00722316751743236
"Mississippi","Hattiesburg",118,375,45989,21786,24203,0.473721976994499,0.00256583095957729
"Colorado","Grand Junction",252,308,58566,28958,29608,0.49445070518731,0.00430283782399344
"Georgia","Macon",583,1828,91351,42156,49195,0.461472780812471,0.00638197720878808
"Georgia","Dalton",88,229,33128,16333,16795,0.4930270466071,0.00265636319729534
"Tennessee","Memphis",11507,12575,646889,307019,339870,0.47460847224176,0.017788214052179
"Iowa","Cedar Rapids",356,966,126326,62065,64261,0.491308202586958,0.00281810553646914
"Tennessee","Morristown",203,191,29137,13951,15186,0.478807015135395,0.00696708652229124
"California","Los Angeles",18547,16388,3792621,1889064,1903557,0.498089316069283,0.00489028563623942
"California","Pasadena",433,891,137122,66854,70268,0.487551231749829,0.00315777191114482
"California","Santa Monica",395,586,89736,43284,46452,0.482348221449585,0.00440180083801373
"California","Arcadia",57,339,56364,26889,29475,0.477059825420481,0.00101128379816904
"California","Long Beach",2705,3799,462257,226520,235737,0.490030437613708,0.00585172317563606
"California","Santa Barbara",363,558,88410,43874,44536,0.496256079629001,0.00410587037665422
"California","Gardena",287,297,58829,28292,30537,0.480919274507471,0.00487854629519455
"California","Carson",520,601,91714,43922,47792,0.478901803432409,0.00566979959439126
"California","Torrance",190,529,145438,70732,74706,0.48633782092713,0.00130639860284107
"California","Glendale",233,516,191719,91387,100332,0.476671587062315,0.00121532033862059
"California","Monterey Park",75,249,60269,28907,31362,0.479632978811661,0.00124442084653802
"California","Santa Maria",690,712,99553,50321,49232,0.505469448434502,0.006930981487248
"California","Burbank",243,383,103340,49971,53369,0.483559125217728,0.00235146119605187
"Alabama","Tuscaloosa",478,1182,90468,43512,46956,0.480965645311049,0.00528363620285626
"Louisiana","Hammond",332,993,20019,9243,10776,0.461711374194515,0.0165842449672811
"Idaho","Pocatello",141,262,54255,27061,27194,0.498774306515529,0.00259883881669892
"Kentucky","Bowling Green",189,547,58067,28026,30041,0.482649353333219,0.00325486076428953
"South Carolina","Florence",328,566,37056,16863,20193,0.455068005181347,0.00885146804835924
"California","Watsonville",252,265,51199,25499,25700,0.498037071036544,0.00492197113224868
"Minnesota","Rochester",NA,495,106769,51700,55069,0.484222948608679,NA
"California","Fairfield",454,676,105321,51851,53470,0.492313973471577,0.0043106313080962
"California","Vallejo",878,2688,115942,56277,59665,0.485389246347312,0.00757275189318797
"Florida","Punta Gorda",11,49,16641,7899,8742,0.474670993329728,0.000661017967670212
"Texas","Beaumont",1242,1828,118296,57603,60693,0.486939541489146,0.0104990870359099
"Indiana","Columbus",83,262,44061,21340,22721,0.484328544517828,0.00188375207099249
"Texas","Port Arthur",344,854,53818,26489,27329,0.492195919580809,0.00639191348619421
"California","Modesto",1590,2571,201165,97989,103176,0.487107598240251,0.00790395943628365
"Florida","Ocala",375,606,56315,26800,29515,0.475894521885821,0.00665897185474563
"Massachusetts","Cambridge",431,502,105162,51109,54053,0.48600254844906,0.00409843859949411
"Georgia","Athens-Clarke County",455,1149,115452,54781,60671,0.474491563593528,0.0039410317707792
"Delaware","Wilmington",1228,1212,70851,33661,37190,0.47509562320927,0.0173321477466797
"Texas ","Texarkana",392,616,36411,17296,19115,0.475021284776579,0.0107659773145478
