"pid","condition","ps.total_T1","ps.total_T2","ps.total_T3"
"ID_1",0,3.2,3.26666666666667,3.43333333333333
"ID_10",0,3.3,3.16666666666667,3.36666666666667
"ID_100",0,2.36666666666667,3,NA
"ID_101",0,2.76666666666667,4.83333333333333,2.83333333333333
"ID_102",1,3.5,3.56666666666667,4.03333333333333
"ID_103",0,2.53333333333333,1.93333333333333,1.93333333333333
"ID_104",0,2.7,2.5,2.73333333333333
"ID_105",1,3.03333333333333,2.13333333333333,NA
"ID_106",0,2.66666666666667,2.3,2.36666666666667
"ID_107",0,2.6,2.16666666666667,3.1
"ID_11",0,3.26666666666667,2.66666666666667,2.23333333333333
"ID_12",0,3.4,3.1,2.76666666666667
"ID_13",1,2.9,NA,NA
"ID_14",1,3.13333333333333,3.23333333333333,2.93333333333333
"ID_15",1,2.56666666666667,1.73333333333333,1.4
"ID_16",0,3.56666666666667,3.43333333333333,3.23333333333333
"ID_17",1,1.93333333333333,1.76666666666667,1.5
"ID_18",1,3,NA,NA
"ID_19",0,3.06666666666667,3.06666666666667,2.63333333333333
"ID_2",1,3.43333333333333,3.83333333333333,3.43333333333333
"ID_20",0,3.46666666666667,3.23333333333333,3.33333333333333
"ID_21",1,3,3.1,2.76666666666667
"ID_22",0,2.76666666666667,2.66666666666667,2.6
"ID_23",1,3.03333333333333,NA,NA
"ID_24",1,3.3,3.8,4.33333333333333
"ID_25",0,2.33333333333333,1.8,NA
"ID_26",1,2.46666666666667,1.63333333333333,1.3
"ID_27",1,4.16666666666667,NA,NA
"ID_28",0,2.8,NA,NA
"ID_29",0,3.26666666666667,3.16666666666667,2.93333333333333
"ID_3",1,3.86666666666667,2.83333333333333,3.13333333333333
"ID_30",0,3.46666666666667,3.03333333333333,3.66666666666667
"ID_31",0,2.63333333333333,1.86666666666667,2.13333333333333
"ID_32",0,2.8,2.7,3
"ID_33",0,3.76666666666667,3.4,3.6
"ID_34",1,3.23333333333333,1.36666666666667,1.96666666666667
"ID_35",0,4.36666666666667,3.9,3.63333333333333
"ID_36",1,3.43333333333333,2.46666666666667,2.66666666666667
"ID_37",0,3.9,3.03333333333333,NA
"ID_38",1,4.26666666666667,3.76666666666667,3.86666666666667
"ID_39",0,3.93333333333333,3.4,3.33333333333333
"ID_4",0,3.7,3.7,3.53333333333333
"ID_40",1,3.3,2.7,2.63333333333333
"ID_41",1,NA,1.46666666666667,2.6
"ID_42",1,2.63333333333333,2.3,2.56666666666667
"ID_43",1,3.63333333333333,2.83333333333333,2.4
"ID_44",1,3.06666666666667,NA,NA
"ID_45",0,2.73333333333333,2.53333333333333,3.16666666666667
"ID_46",0,2.53333333333333,2.36666666666667,2.33333333333333
"ID_47",1,2.2,1.9,NA
"ID_48",0,2.6,2.86666666666667,2.53333333333333
"ID_49",1,2.63333333333333,1.76666666666667,1.93333333333333
"ID_5",1,2.36666666666667,1.4,2.26666666666667
"ID_50",0,3.36666666666667,3,2.43333333333333
"ID_51",0,2.43333333333333,2.43333333333333,2.43333333333333
"ID_52",1,3.56666666666667,2.8,2.43333333333333
"ID_53",0,1.9,2,1.7
"ID_54",1,3.5,3.26666666666667,2.96666666666667
"ID_55",1,2.73333333333333,2.3,3.1
"ID_56",0,3.53333333333333,2.9,2.93333333333333
"ID_57",1,3.26666666666667,3.1,3.23333333333333
"ID_58",1,3.6,3.36666666666667,3.36666666666667
"ID_59",0,2.83333333333333,2.16666666666667,2.3
"ID_6",1,2,2.16666666666667,2.63333333333333
"ID_60",1,3.86666666666667,3.6,4.1
"ID_61",1,3.6,3,3.4
"ID_62",0,3.6,3.46666666666667,NA
"ID_63",0,2.4,2,2.2
"ID_64",1,2.56666666666667,2.83333333333333,3.26666666666667
"ID_65",0,2.33333333333333,1.96666666666667,1.96666666666667
"ID_66",0,3.43333333333333,3.63333333333333,NA
"ID_67",0,3.16666666666667,2.8,2.86666666666667
"ID_68",1,3.16666666666667,2.86666666666667,2.9
"ID_69",0,3.83333333333333,3.76666666666667,3.83333333333333
"ID_7",0,2.53333333333333,NA,NA
"ID_70",1,3.86666666666667,NA,NA
"ID_71",1,2.46666666666667,2.13333333333333,2.2
"ID_72",1,3.5,1.86666666666667,2.06666666666667
"ID_73",0,2.13333333333333,1.63333333333333,1.7
"ID_74",0,3.7,3.3,3.43333333333333
"ID_75",0,2.63333333333333,2.63333333333333,2.7
"ID_76",0,3.7,3.93333333333333,3.53333333333333
"ID_77",1,2.5,NA,NA
"ID_78",1,4.16666666666667,2.03333333333333,1.93333333333333
"ID_79",1,2.33333333333333,1.56666666666667,1.73333333333333
"ID_8",0,2.63333333333333,2.5,2.56666666666667
"ID_80",1,3.6,3,3.2
"ID_81",1,2.76666666666667,2.1,1.5
"ID_82",0,2.66666666666667,2.9,NA
"ID_83",1,2.26666666666667,1.46666666666667,1.4
"ID_84",0,3.66666666666667,3.66666666666667,3.8
"ID_85",0,3.9,NA,NA
"ID_86",0,3.13333333333333,3.03333333333333,2.83333333333333
"ID_87",1,3.3,2.46666666666667,2.7
"ID_88",1,3.33333333333333,2.7,2.33333333333333
"ID_89",1,3.36666666666667,1.73333333333333,2.1
"ID_9",1,2.86666666666667,NA,NA
"ID_90",0,3.26666666666667,NA,NA
"ID_91",1,4.73333333333333,3.63333333333333,3.33333333333333
"ID_92",1,2.6,2.46666666666667,2.33333333333333
"ID_93",0,2.43333333333333,2.66666666666667,3.33333333333333
"ID_94",0,2.9,2.76666666666667,2.33333333333333
"ID_95",0,3.36666666666667,2.6,3.16666666666667
"ID_96",0,3.76666666666667,3.33333333333333,3.76666666666667
"ID_97",0,2.93333333333333,2.83333333333333,2.76666666666667
"ID_98",1,3.2,3.16666666666667,2.73333333333333
"ID_99",1,4.13333333333333,2.86666666666667,3.3
