"ID","Cond.1","Cond.2","Cond.3","Cond.4"
1,NA,1,NA,NA
2,1,NA,NA,NA
3,NA,1,NA,NA
4,NA,1,NA,NA
5,NA,NA,NA,1
6,1,NA,NA,NA
7,NA,NA,1,NA
8,NA,NA,1,NA
9,NA,NA,1,NA
10,NA,NA,NA,1
11,1,NA,NA,NA
12,NA,NA,1,NA
13,NA,NA,1,NA
14,NA,1,NA,NA
15,NA,NA,NA,1
16,NA,NA,1,NA
17,NA,1,NA,NA
18,1,NA,NA,NA
19,NA,1,NA,NA
20,NA,NA,NA,1
21,NA,NA,1,NA
22,1,NA,NA,NA
23,NA,NA,NA,1
24,NA,NA,NA,1
25,NA,NA,1,NA
26,NA,NA,NA,1
27,1,NA,NA,NA
28,NA,NA,NA,1
29,1,NA,NA,NA
30,NA,1,NA,NA
31,1,NA,NA,NA
32,NA,1,NA,NA
33,NA,NA,1,NA
34,NA,1,NA,NA
35,NA,1,NA,NA
36,NA,NA,1,NA
37,NA,NA,1,NA
38,NA,NA,NA,1
39,NA,NA,1,NA
40,NA,NA,NA,1
41,NA,1,NA,NA
42,NA,NA,NA,1
43,NA,NA,NA,1
44,NA,NA,NA,1
45,1,NA,NA,NA
46,1,NA,NA,NA
47,NA,NA,1,NA
48,NA,NA,1,NA
49,1,NA,NA,NA
50,NA,1,NA,NA
51,NA,NA,NA,1
52,NA,1,NA,NA
53,NA,1,NA,NA
54,1,NA,NA,NA
55,1,NA,NA,NA
56,1,NA,NA,NA
57,NA,NA,1,NA
58,NA,1,NA,NA
59,1,NA,NA,NA
60,NA,NA,NA,1
61,1,NA,NA,NA
62,NA,1,NA,NA
63,1,NA,NA,NA
64,NA,1,NA,NA
65,NA,NA,NA,1
66,NA,NA,1,NA
67,NA,NA,1,NA
68,NA,NA,NA,1
69,1,NA,NA,NA
70,NA,1,NA,NA
71,NA,NA,1,NA
72,NA,NA,NA,1
73,NA,NA,NA,1
74,1,NA,NA,NA
75,NA,NA,1,NA
76,NA,NA,NA,1
77,1,NA,NA,NA
78,NA,1,NA,NA
79,NA,1,NA,NA
80,1,NA,NA,NA
81,NA,1,NA,NA
82,NA,NA,1,NA
83,NA,NA,NA,1
84,1,NA,NA,NA
85,NA,1,NA,NA
86,NA,1,NA,NA
87,NA,NA,NA,1
88,NA,NA,NA,1
89,NA,NA,1,NA
90,NA,NA,1,NA
91,1,NA,NA,NA
92,NA,1,NA,NA
93,1,NA,NA,NA
94,NA,NA,1,NA
95,NA,NA,1,NA
96,NA,NA,1,NA
97,NA,1,NA,NA
98,NA,1,NA,NA
99,NA,1,NA,NA
100,NA,NA,NA,1
101,1,NA,NA,NA
102,NA,NA,1,NA
103,NA,NA,NA,1
104,1,NA,NA,NA
105,NA,NA,NA,1
106,NA,NA,1,NA
107,NA,NA,1,NA
108,NA,NA,NA,1
109,1,NA,NA,NA
110,NA,NA,1,NA
111,NA,1,NA,NA
112,NA,1,NA,NA
113,NA,NA,NA,1
114,NA,NA,1,NA
115,NA,NA,NA,1
116,1,NA,NA,NA
117,NA,NA,NA,1
118,1,NA,NA,NA
119,NA,NA,1,NA
120,1,NA,NA,NA
121,NA,1,NA,NA
122,NA,1,NA,NA
123,NA,NA,1,NA
124,NA,NA,NA,1
125,NA,1,NA,NA
126,1,NA,NA,NA
127,NA,NA,1,NA
128,NA,NA,NA,1
129,1,NA,NA,NA
130,NA,1,NA,NA
131,1,NA,NA,NA
132,NA,NA,1,NA
133,NA,NA,NA,1
134,NA,1,NA,NA
135,NA,NA,NA,1
136,NA,1,NA,NA
137,1,NA,NA,NA
138,NA,NA,1,NA
139,NA,NA,NA,1
140,1,NA,NA,NA
141,1,NA,NA,NA
142,NA,1,NA,NA
143,NA,NA,1,NA
144,NA,NA,NA,1
145,NA,NA,1,NA
146,NA,1,NA,NA
147,NA,NA,1,NA
148,1,NA,NA,NA
149,NA,1,NA,NA
150,NA,1,NA,NA
151,NA,NA,NA,1
152,1,NA,NA,NA
153,NA,NA,1,NA
154,NA,NA,NA,1
155,NA,NA,NA,1
156,1,NA,NA,NA
157,NA,NA,1,NA
158,NA,NA,NA,1
159,NA,1,NA,NA
160,NA,NA,1,NA
161,NA,1,NA,NA
162,NA,NA,1,NA
163,1,NA,NA,NA
164,NA,NA,NA,1
165,1,NA,NA,NA
166,NA,NA,NA,1
167,NA,NA,NA,1
168,NA,NA,1,NA
169,NA,1,NA,NA
170,NA,1,NA,NA
171,1,NA,NA,NA
172,NA,1,NA,NA
173,NA,NA,1,NA
174,NA,NA,NA,1
175,NA,1,NA,NA
176,NA,1,NA,NA
177,NA,NA,1,NA
178,NA,NA,1,NA
179,1,NA,NA,NA
180,1,NA,NA,NA
181,NA,NA,NA,1
182,NA,1,NA,NA
183,1,NA,NA,NA
184,1,NA,NA,NA
185,NA,NA,NA,1
186,NA,NA,1,NA
187,NA,NA,NA,1
188,NA,1,NA,NA
189,NA,NA,1,NA
190,1,NA,NA,NA
191,NA,1,NA,NA
192,NA,NA,NA,1
193,1,NA,NA,NA
194,NA,NA,NA,1
195,1,NA,NA,NA
196,1,NA,NA,NA
197,NA,NA,NA,1
198,NA,NA,1,NA
199,1,NA,NA,NA
200,NA,NA,1,NA
201,NA,NA,NA,1
202,NA,NA,1,NA
203,1,NA,NA,NA
204,NA,1,NA,NA
205,NA,1,NA,NA
206,NA,1,NA,NA
207,NA,NA,1,NA
208,NA,NA,NA,1
209,NA,NA,1,NA
210,1,NA,NA,NA
211,NA,1,NA,NA
212,NA,NA,NA,1
213,1,NA,NA,NA
214,NA,1,NA,NA
215,NA,NA,1,NA
216,NA,1,NA,NA
217,1,NA,NA,NA
218,NA,1,NA,NA
219,NA,NA,NA,1
220,NA,NA,NA,1
221,NA,NA,1,NA
222,NA,1,NA,NA
223,1,NA,NA,NA
224,NA,NA,NA,1
225,NA,1,NA,NA
226,NA,1,NA,NA
227,NA,NA,1,NA
228,NA,NA,1,NA
229,NA,NA,1,NA
230,NA,NA,NA,1
231,1,NA,NA,NA
232,NA,NA,NA,1
233,NA,NA,NA,1
234,NA,NA,1,NA
235,NA,NA,1,NA
236,NA,1,NA,NA
237,NA,NA,NA,1
238,1,NA,NA,NA
239,1,NA,NA,NA
240,NA,1,NA,NA
241,NA,NA,NA,1
242,NA,NA,1,NA
243,1,NA,NA,NA
244,NA,NA,1,NA
245,NA,1,NA,NA
246,1,NA,NA,NA
247,1,NA,NA,NA
248,NA,NA,NA,1
249,NA,1,NA,NA
250,NA,1,NA,NA
251,NA,NA,NA,1
252,NA,NA,NA,1
253,NA,NA,1,NA
254,NA,NA,1,NA
255,1,NA,NA,NA
256,1,NA,NA,NA
257,NA,NA,NA,1
258,NA,NA,1,NA
259,NA,1,NA,NA
260,NA,NA,NA,1
261,1,NA,NA,NA
262,NA,NA,NA,1
263,1,NA,NA,NA
264,NA,NA,1,NA
265,NA,1,NA,NA
266,NA,NA,1,NA
267,NA,NA,NA,1
268,NA,1,NA,NA
269,1,NA,NA,NA
270,NA,NA,NA,1
271,1,NA,NA,NA
272,NA,1,NA,NA
273,NA,NA,1,NA
274,NA,NA,NA,1
275,NA,NA,1,NA
276,1,NA,NA,NA
277,1,NA,NA,NA
278,NA,NA,1,NA
279,NA,1,NA,NA
280,NA,NA,NA,1
281,NA,NA,1,NA
282,1,NA,NA,NA
283,NA,NA,1,NA
284,NA,1,NA,NA
285,NA,NA,NA,1
286,1,NA,NA,NA
287,NA,NA,NA,1
288,NA,NA,1,NA
289,NA,NA,1,NA
290,NA,1,NA,NA
291,NA,NA,NA,1
292,1,NA,NA,NA
293,NA,1,NA,NA
294,NA,NA,NA,1
295,NA,NA,1,NA
296,1,NA,NA,NA
297,1,NA,NA,NA
298,NA,NA,NA,1
299,NA,1,NA,NA
300,NA,NA,1,NA
301,NA,NA,1,NA
302,NA,NA,NA,1
303,1,NA,NA,NA
304,NA,1,NA,NA
305,NA,NA,NA,1
306,NA,1,NA,NA
307,1,NA,NA,NA
308,NA,NA,NA,1
309,1,NA,NA,NA
310,NA,1,NA,NA
311,NA,NA,NA,1
312,NA,1,NA,NA
313,NA,1,NA,NA
314,NA,NA,1,NA
315,NA,1,NA,NA
316,NA,NA,NA,1
317,1,NA,NA,NA
318,NA,NA,1,NA
319,NA,NA,1,NA
320,NA,NA,NA,1
321,NA,1,NA,NA
322,1,NA,NA,NA
